45,Altitude,218773.610833
45,Weight,565800.000000
45,Acceleration,-0.314873
44,Velocity,2565.481549
44,Altitude,236731.981677
44,Weight,556760.000000
44,Acceleration,-0.160703
43,Velocity,2565.471448
43,Altitude,254690.281817
43,Weight,547720.000000
43,Acceleration,-0.001443
42,Velocity,2566.613582
42,Altitude,272656.576890
42,Weight,538680.000000
42,Acceleration,0.163162
41,Velocity,2568.947282
41,Altitude,290639.207867
41,Weight,529640.000000
41,Acceleration,0.333386
40,Velocity,2572.513932
40,Altitude,308646.805395
40,Weight,520600.000000
40,Acceleration,0.509521
39,Velocity,2577.357108
39,Altitude,326688.305150
39,Weight,511560.000000
39,Acceleration,0.691882
38,Velocity,2583.522736
38,Altitude,344772.964304
38,Weight,502520.000000
38,Acceleration,0.880804
37,Velocity,2591.059270
37,Altitude,362910.379190
37,Weight,493480.000000
37,Acceleration,1.076648
36,Velocity,2600.017872
36,Altitude,381110.504292
36,Weight,484440.000000
36,Acceleration,1.279800
35,Velocity,2610.452625
35,Altitude,399383.672670
35,Weight,475400.000000
35,Acceleration,1.490679
34,Velocity,2622.420759
34,Altitude,417740.617984
34,Weight,466360.000000
34,Acceleration,1.709733
33,Velocity,2635.982894
33,Altitude,436192.498243
33,Weight,457320.000000
33,Acceleration,1.937448
32,Velocity,2651.203320
32,Altitude,454750.921482
32,Weight,448280.000000
32,Acceleration,2.174347
31,Velocity,2668.150295
31,Altitude,473427.973544
31,Weight,439240.000000
31,Acceleration,2.420996
30,Velocity,2686.896380
30,Altitude,492236.248204
30,Weight,430200.000000
30,Acceleration,2.678012
29,Velocity,2707.518811
29,Altitude,511188.879878
29,Weight,421160.000000
29,Acceleration,2.946061
28,Velocity,2730.099902
28,Altitude,530299.579196
28,Weight,412120.000000
28,Acceleration,3.225870
27,Velocity,2754.727511
27,Altitude,549582.671772
27,Weight,403080.000000
27,Acceleration,3.518230
26,Velocity,2781.495537
26,Altitude,569053.140534
26,Weight,394040.000000
26,Acceleration,3.824004
25,Velocity,2810.504499
25,Altitude,588726.672023
25,Weight,385000.000000
25,Acceleration,4.144137
24,Velocity,2841.862161
24,Altitude,608619.707151
24,Weight,375960.000000
24,Acceleration,4.479666
23,Velocity,2875.684257
23,Altitude,628749.496952
23,Weight,366920.000000
23,Acceleration,4.831728
22,Velocity,2912.095290
22,Altitude,649134.163983
22,Weight,357880.000000
22,Acceleration,5.201576
21,Velocity,2951.229441
21,Altitude,669792.770071
21,Weight,348840.000000
21,Acceleration,5.590593
20,Velocity,2993.231601
20,Altitude,690745.391279
20,Weight,339800.000000
20,Acceleration,6.000309
19,Velocity,3038.258542
19,Altitude,712013.201069
19,Weight,330760.000000
19,Acceleration,6.432420
18,Velocity,3086.480249
18,Altitude,733618.562810
18,Weight,321720.000000
18,Acceleration,6.888815
17,Velocity,3138.081452
17,Altitude,755585.132976
17,Weight,312680.000000
17,Acceleration,7.371601
16,Velocity,3193.263382
16,Altitude,777937.976652
16,Weight,303640.000000
16,Acceleration,7.883133
15,Velocity,3252.245792
15,Altitude,800703.697199
15,Weight,294600.000000
15,Acceleration,8.426059
14,Velocity,3315.269307
14,Altitude,823910.582347
14,Weight,285560.000000
14,Acceleration,9.003359
13,Velocity,3382.598150
13,Altitude,847588.769394
13,Weight,276520.000000
13,Acceleration,9.618406
12,Velocity,3454.523334
12,Altitude,871770.432734
12,Weight,267480.000000
12,Acceleration,10.275026
11,Velocity,3531.366413
11,Altitude,896489.997623
11,Weight,258440.000000
11,Acceleration,10.977583
10,Velocity,3613.483903
10,Altitude,921784.384942
10,Weight,249400.000000
10,Acceleration,11.731070
9,Velocity,3701.272548
9,Altitude,947693.292779
9,Weight,240360.000000
9,Acceleration,12.541235
8,Velocity,3795.175607
8,Altitude,974259.522028
8,Weight,231320.000000
8,Acceleration,13.414723
7,Velocity,3895.690419
7,Altitude,1001529.354962
7,Weight,222280.000000
7,Acceleration,14.359259
6,Velocity,4003.377575
6,Altitude,1029552.997988
6,Weight,213240.000000
6,Acceleration,15.383879
5,Velocity,4118.872120
5,Altitude,1058385.102827
5,Weight,204200.000000
5,Acceleration,16.499221
4,Velocity,4242.897344
4,Altitude,1088085.384237
4,Weight,195160.000000
4,Acceleration,17.717889
3,Velocity,4376.281933
3,Altitude,1118719.357766
3,Weight,186120.000000
3,Acceleration,19.054941
2,Velocity,4519.981483
2,Altitude,1150359.228148
2,Weight,177080.000000
2,Acceleration,20.528507
1,Velocity,4675.105818
1,Altitude,1183084.968874
1,Weight,168040.000000
1,Acceleration,22.160619
0,Velocity,4842.954057
0,Altitude,1216985.647272
0,Weight,159000.000000
0,Acceleration,23.978320
-1,Center stage,387.000000
49,Velocity,4859.774236
49,Altitude,1246144.292688
49,Weight,117866.000000
49,Acceleration,2.803363
48,Velocity,4877.989894
