seconds, weight, velocity
32.000000,1520360.000000,1453250667876599677678993751322907208644930520935294676229060018643249973618738886318769432469648759121286942718453755306660188237243892078735105139793101739246051603170430432594130862682006486788211300368384.000000
33.000000,1477340.000000,4293887776860295858112721237358169752186086955824673690309709736918760924216453685445310267950570226830216597934665498725782485649809854506271214700155069531982651663680358085102161564018244726376126707685748899840.000000
34.000000,1434320.000000,12317609644436965340902904238582134345723234490973247281868424681729534211477021864376342798275919503598920329425839806556725375755908208600745577827139586099502817076612767264912780541770668157653789901474409837278265344.000000
35.000000,1391300.000000,34274955961391014896254055120302085568444850813067282884816253091642282944606710135418948917977501309277949152450655197962893714983124275990571968210303557765167062019684050912469036284304606184186601901650437075607183501033472.000000
36.000000,1348280.000000,92424406697336633435492734803014157496202861714267000742227987027506659171843917689991018388785087638005583019312508814001261201329491767317885357834788243610759786839238432186256710810346662736081402715312807711186486395996976709632.000000
37.000000,1305260.000000,241275577322717824017059919597430758149245183676471342700144846788097955105764980819578322965009988754858769580152656740100899558722849165455360904704130841290610550220231621211721037183437234901269384786060287421543480601155882104930697216.000000
38.000000,1262240.000000,609094886888500002315052474007000115544955667790742892444999581171339783749182380993894276939229487889981271982050082525900894847978004857262258798729524290445843310190069278667089313767040422472118172019600024101061955575942997795358152413151232.000000
39.000000,1219220.000000,1485240117794620125456969568230022601158005576170369622212337553807873523863246811432550914672422852928303216292974934697881222732184454374701082705965002658750067316608295073702490852263469234856593392282619955614176043384987349387186467068707839410176.000000
40.000000,1176200.000000,3493875882619828790177513393268574921360212635546833674532574821303436928424015668950863178101849015478493447898537869038324552041257002253163401391566551894443845599065466520434516490446286347510239902498372471907902965102009481377330668814097877500294070272.000000
41.000000,1133180.000000,7918373557582509570765667103543095183377529938910986810891999992659481416161028037901690015708644454247191517152983520125165223585912688203878549707858682535584764782782711430224167372292668768341513677006543805437515478611613030946050647199238158035946809189203968.000000
42.000000,1090160.000000,17264572398321183448811893919345982986511807964973714163163403319658559187022210167643483337844324110542926718172984696733277020184164131914679425723082125539050892250760695761740769003282784089123502252471116773935321105322850844280352882991725721205159929185141367242752.000000
43.000000,1047140.000000,36156814153211292915707614109244115642561314440654116235331832466457093529526864965631430505146536461081987838288465199978976277781774930380917019851073077966948254323632170192444442792066501462858438118174998307027874750759454042270457974056226410739209377703345035483983904768.000000
44.000000,1004120.000000,72611488141416745601333804707977100699418028396787745663683955368172954551353118072268350671752955433372452850384719407017049476811124325927968355408357578132178951273946474112260657285455423362916100403465922350006175737585896214076408030868623494162890646505942764500594676409040896.000000
45.000000,961100.000000,139573657282454994294992733435902124317616153405314738669288825880566032736483314759680200597768587740597981066387544278269370750318848023620908036915286832566037714299424781477303999945590206266017323990749429235104719356199685231904150841046940146665910606318212500463662924398979637575680.000000
46.000000,918080.000000,256279287408438003414024589943412276144806282266620476337866438838262167930851115108547745800798750276720512669188901030585911597202704044165806045126582602615290587598690882393495480227360841296888764885862888176891169325264757754695012725348706907661072258325200789147119597385253143700752564224.000000
47.000000,875060.000000,448518993920680685191395357870885653431264900424424201166369949861494476693269271712589164372330436140886629892344080460724368709247113722778508194398095735124630033269511454967730410878029774960094106267352195399395200559356502315248249780866554603300982427781342874469532272870676676755966004750712832.000000
48.000000,832040.000000,+Inf
49.000000,789020.000000,NaN
0.000000,2897000.000000,0.000000
1.000000,2853980.000000,44.252537
2.000000,2810960.000000,88.505074
3.000000,2767940.000000,88.505074
4.000000,2724920.000000,89.880642
5.000000,2681900.000000,91.256209
6.000000,2638880.000000,92.675907
7.000000,2595860.000000,94.140455
8.000000,2552840.000000,95.652060
9.000000,2509820.000000,97.213024
10.000000,2466800.000000,98.825809
11.000000,2423780.000000,100.493039
12.000000,2380760.000000,102.217519
13.000000,2337740.000000,104.002253
14.000000,2294720.000000,105.850456
15.000000,2251700.000000,107.765578
16.000000,2208680.000000,109.751321
17.000000,2165660.000000,111.811669
18.000000,2122640.000000,113.950908
19.000000,2079620.000000,116.173663
20.000000,2036600.000000,118.484924
21.000000,1993580.000000,120.890090
22.000000,1950560.000000,123.395006
23.000000,1907540.000000,126.006016
24.000000,1864520.000000,128.730010
25.000000,1821500.000000,131.574491
26.000000,1778480.000000,134.547642
27.000000,1735460.000000,137.658405
28.000000,1692440.000000,140.916570
29.000000,1649420.000000,144.332879
30.000000,1606400.000000,147.919147
31.000000,1563380.000000,151.688394
32.000000,1520360.000000,155.655011
33.000000,1477340.000000,159.834936
34.000000,1434320.000000,164.245876
35.000000,1391300.000000,168.907555
36.000000,1348280.000000,173.842014
37.000000,1305260.000000,179.073956
38.000000,1262240.000000,184.631167
39.000000,1219220.000000,190.545011
40.000000,1176200.000000,196.851025
41.000000,1133180.000000,203.589643
42.000000,1090160.000000,210.807063
43.000000,1047140.000000,218.556322
44.000000,1004120.000000,226.898613
45.000000,961100.000000,235.904915
46.000000,918080.000000,245.658039
47.000000,875060.000000,256.255209
48.000000,832040.000000,267.811352
49.000000,789020.000000,280.463333
0.000000,2897000.000000,0.000000
1.000000,2853980.000000,44.252537
2.000000,2810960.000000,122585271.707283
3.000000,2767940.000000,339308675162618.062500
4.000000,2724920.000000,924588995124119339008.000000
5.000000,2681900.000000,2479655226023375649676197888.000000
6.000000,2638880.000000,6543512582848565237004027815788544.000000
7.000000,2595860.000000,16986042573313275831970055230295409426432.000000
8.000000,2552840.000000,43362648922857063976474297843027020395845779456.000000
9.000000,2509820.000000,108832443519565122735084626335668131670206386865700864.000000
10.000000,2466800.000000,268467871674063240310311985084346352785808376875623844413440.000000
11.000000,2423780.000000,650707058006161022059781102657726264517839035838570806047481528320.000000
12.000000,2380760.000000,1549177335418747888804171598093895120597982402377257603505121922381774848.000000
13.000000,2337740.000000,3621573824101823501688424243567740426284837313237340939846386147992405301788672.000000
14.000000,2294720.000000,8310497885642937270372711989111263331632444395547940590943240560074867275880963506176.000000
15.000000,2251700.000000,18712748089102202020045632476797263546945340038116502664814344818300647498625456393768927232.000000
16.000000,2208680.000000,41330472449438253374209631516178382904704739197935227484784984044019852909284515339932710272499712.000000
17.000000,2165660.000000,89507750964850444048304613168869555236475196924126587599913382503953168552471859946254823687501629095936.000000
18.000000,2122640.000000,189992732508030152405569887123496934011694840532864482983160235945176549585873274454440027197282312319460704256.000000
19.000000,2079620.000000,395112686378349639623733078292837104603866464765177964304505613653911912366841896791950643484742397370258288113876992.000000
20.000000,2036600.000000,804686497078146902096407223624799348124419035459352508475276272243283831089858497536290026893782477246004546975108308140032.000000
21.000000,1993580.000000,1604206906845052049702876565176471416202684654899927160205178068988679048488392342051143281638896605443612681844647696887921508352.000000
22.000000,1950560.000000,3129101824215684488769860595184867029637789577346687780517082377868405247100921539641418670591615255471674632654491564883787105708277760.000000
23.000000,1907540.000000,5968886893764386587257087187847220916101550126163766849524291455475145115618367661584277557157963264263612886257662717272174669787391930138624.000000
24.000000,1864520.000000,11129108991161573841136344581153546954384216961675196705009054763636797838337437452625477803719436283326993373538379211417127497288736962670634205184.000000
25.000000,1821500.000000,20271672027400805832286755543766098380332149470099010513885790621984104781019574057889484500355912686692170761079571578494633591185649427370298186974363648.000000
26.000000,1778480.000000,36052763267291788264921082372276158152560934191950983191254875830008291985697268538279359073163103457858712529375994673557649672949787302188804728900576560021504.000000
27.000000,1735460.000000,62568128539854206460358520240310805528302097878110195752243656313828464332493751303110440328410292655167754762249161316940878896572034866388192457768937899664347234304.000000
28.000000,1692440.000000,105892803465990855262807612621836436717984873152794015125744134611378027700151311974344717890908135921021776445460583062976725193705924472953847988733824580203219277005717504.000000
